code,name,market_id,category_id,color,url,listing_date,delisting_date
2301,学情,1,33,,,,
2303,ドーン,4,25,,,,
2304,ＣＳＳホールディングス,4,33,,,,
2305,スタジオアリス,1,33,,,,
2307,クロスキャット,2,25,,,,
2309,シミックホールディングス,1,33,,,,
2311,エプコ,4,33,,,,
2315,カイカ,4,25,,,,
2317,システナ,1,25,,,,
2321,ソフトフロントホールディングス,5,25,,,,
2323,ｆｏｎｆｕｎ,4,25,,,,
2325,ＮＪＳ,1,33,,,,
2326,デジタルアーツ,1,25,,,,
2327,新日鉄住金ソリューションズ,1,25,,,,
2329,東北新社,4,25,,,,
2330,フォーサイド,4,25,,,,
2331,ＡＬＳＯＫ,1,33,,,,
2332,クエスト,4,25,,,,
2334,イオレ,3,33,,,,
2335,キューブシステム,1,25,,,,
2337,いちご,1,32,,,,
2338,ファステップス,2,25,,,,
2340,極楽湯ホールディングス,4,33,,,,
2341,アルバイトタイムス,4,33,,,,
2342,トランスジェニック,3,33,,,,
2344,平安レイサービス,4,33,,,,
2345,アイスタディ,2,25,,,,
2349,エヌアイデイ,4,25,,,,
2351,ＡＳＪ,3,25,,,,
2352,エイジア,1,25,,,,
2353,日本駐車場開発,1,32,,,,
2354,安川情報システム,2,25,,,,
2359,コア,1,25,,,,
2362,夢真ホールディングス,4,33,,,,
2370,メディネット,3,33,,,,
2371,カカクコム,1,33,,,,
2372,アイロムグループ,1,33,,,,
2373,ケア鉱業１,4,33,,,,
2374,セントケア・ホールディング,1,33,,,,
2375,スリープログループ,2,33,,,,
2376,サイネックス,1,33,,,,
2378,ルネサンス,1,33,,,,
2379,ディップ,1,33,,,,
2384,ＳＢＳホールディングス,1,21,,,,
2385,総医研ホールディングス,3,33,,,,
2388,ウェッジホールディングス,5,31,,,,
2389,オプトホールディング,1,33,,,,
2391,プラネット,4,33,,,,
2393,日本ケアサプライ,2,33,,,,
2395,新日本科学,1,33,,,,
2397,ＤＮＡチップ研究所,2,33,,,,
2398,ツクイ,1,33,,,,
2402,アマナ,3,33,,,,
2404,鉄人化計画,2,33,,,,
2405,フジコー,2,33,,,,
2406,アルテ　サロン　ホールディングス,4,33,,,,
2408,ＫＧ情報,4,33,,,,
2410,キャリアデザインセンター,1,33,,,,
2411,ゲンダイエージェンシー,4,25,,,,
2412,ベネフィット・ワン,2,33,,,,
2413,エムスリー,1,33,,,,
2415,ヒューマンホールディングス,4,33,,,,
2417,ツヴァイ,2,33,,,,
2418,ツカダ・グローバルホールディング,1,33,,,,
2424,ブラス,1,33,,,,
2425,ケアサービス,5,33,,,,
2427,アウトソーシング,1,33,,,,
2428,ウェルネット,1,33,,,,
2429,ワールドホールディングス,1,33,,,,
2432,ディー・エヌ・エー,1,33,,,,
2433,博報堂ＤＹホールディングス,1,33,,,,
2435,シダー,4,33,,,,
2436,共同ピーアール,4,33,,,,
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,4,33,,,,
2438,アスカネット,3,33,,,,
2440,ぐるなび,1,33,,,,
2445,エスアールジータカミヤ,1,33,,,,
2449,プラップジャパン,4,33,,,,
2453,ジャパンベストレスキューシステム,1,33,,,,
2454,オールアバウト,4,33,,,,
2458,夢テクノロジー,4,33,,,,
2459,アウンコンサルティング,2,33,,,,
2461,ファンコミュニケーションズ,1,33,,,,
2462,ライク,1,33,,,,
2464,ビジネス・ブレークスルー,1,33,,,,
2467,バルクホールディングス,8,33,,,,
2468,フュートレック,2,33,,,,
2469,ヒビノ,4,33,,,,
2471,エスプール,4,33,,,,
2475,ＷＤＢホールディングス,1,33,,,,
2477,手間いらず,3,33,,,,
2479,ジェイテック,5,33,,,,
2480,システム・ロケーション,4,33,,,,
2481,タウンニュース社,4,33,,,,
2483,翻訳センター,4,33,,,,
2484,夢の街創造委員会,4,25,,,,
2485,ティア,1,33,,,,
2487,ＣＤＧ,1,33,,,,
